-'s	của
Macedonian	Ma-xê-đô-ni-a
machete	rựa
machine gun	súng máy
machine gun	súng liên thanh
machine language	ngôn ngữ máy
machine learning	học máy
machine	máy
machine	máy móc
machine-translate	dịch máy
mackerel	cá thu
macroeconomics	kinh tế học vĩ mô
Macron	Mác-rông
macroscale	quy mô lớn
macroscale	đại quy mô
mad	điên
mad	cuồng
Madagascar	Ma-đa-gát-xca
madam	bà
madam	chị
madam	cô
madeleine	bánh mađơlen
madeleine	mađơlen
Madhya Pradesh	Madhya Pradesh
Madrid	Ma-đrít
Madrid	Ma Dịch Lý
Madrid	Ma Dịch Lí
Madrid	Ma Lý
Madrid	Ma Lí
Madrid	Ma Rí
Madurese	tiếng Madura
Maebashi	Maebashi
Maecenas	Mạnh Thường quân
mafia	xã hội đen
magazine	tạp chí
Magdeburg	Mác-đơ-buốc
magenta	màu đỏ sậm
maggot	giòi
Magi	Ba Vua
magic square	ma trận kì ảo
magic trick	màn ảo thuật
magic wand	đũa thần
magic wand	đũa phép
magic	ma thuật
magic	yêu thuật
magic	phép thuật
magic	pháp thuật
magician	phù thủy
maglev	tàu đệm từ
magma	mắc ma
magna cum laude	giỏi
magna cum laude	loại giỏi
magnesium	magiê
magnet	nam châm
magnetic field	từ trường
magnetic tape	băng từ
magnetism	từ tính
magnetism	tính từ
magnetosphere	quyển từ
magnificent	tráng lệ
magnifying glass	kính lúp
magnifying glass	kiếng lúp
magnolia	chi mộc lan
magnolia	ngọc lan
Magog	Ma-gốc
Magog	Ma-gót
magpie	chim ác là
Maha Kassapa	Ma-ha-ca-diếp
Mahakala	Đại Hắc Thiên
Mahayana	Đại thừa
mahjong	mạt chược
mahogany	dái ngựa
mahoraga	ma hầu la già
mahout	quản tượng
Mahāmāyūrī	Khổng Tước Minh Vương
Mahāpratisarā	Đại Tùy Cầu Bồ Tát
Mahāsthāmaprāpta	Đại Thế Chí
maid	đầy tớ gái
maid	hầu gái
maiden name	nhũ danh
maiden	gái trinh
maiden	trinh nữ
maiden	thiếu nữ
mail	bưu điện
mail	bưu chính
mailing list	danh sách thư
mailing list	danh sách gửi thư
mailing list	danh sách gởi thư
mailing list	hộp thư chung
mailman	người đưa thư
mailman	bưu tá
main course	món chính
main	chính
main	chủ yếu
mainframe	máy tính lớn
mainland China	Trung Quốc đại lục
mainland	đại lục
mainland	đất liền
mainlander	người ở đất liền
mainspring	dây cót chính
maintenance	bảo trì
maintenance	bảo dưỡng
Maitreya	Di-lặc
Maitreya	Di Lặc Bồ Tát
maize	bắp
maize	ngô
maize	bẹ
major	thiếu tá
majority	đa số
majority	phần đông
Majuro	Ma-du-rô
make a case for	trình bày lý lẽ của
make a living	kiếm sống
make a mistake	phạm lỗi
make a mountain out of a molehill	chuyện bé xé ra to
make friends	kết bạn
make love	làm tình
make love	tán tỉnh ai
make love	tỏ tình với ai
make love	ôm ấp hôn hít ai
make love	ăn nằm với ai
make love	ái ân
make	làm
Makemake	Makemake
makeup	đồ trang điểm
makhorka	thuốc lào
Malabar spinach	mồng tơi
Malabar spinach	mùng tơi
malacology	nhuyễn thể học
malaria	bệnh sốt rét
malatang	ma lạt thang
Malawi	Ma-la-uy
Malay apple	điều đỏ
Malay Archipelago	quần đảo Mã Lai
Malay	tiếng Mã-lai
Malay	tiếng Mã lai
Malayize	Mã Lai hóa
Malayize	Mã Lai hoá
Malaysia	Ma-lai-xi-a
Malaysia	Mã Lai
Malaysianize	Mã Lai hóa
Malaysianize	Mã Lai hoá
Maldives	Man-đi-vơ
male chauvinism	nam tôn nữ ti
male	trai
male	nam
male	trống
male	đực
male	đàn ông
malfunction	trục trặc
Mali	Ma-li
malice murder	tội giết người ác ý
mall	trung tâm thương mại
mall	trung tâm mua sắm
mall	thương xá
malt	mạch nha
Malta	Man-ta
maltose	đường mạch nha
maltose	mạch nha
maltreat	bạc đãi
maltreat	ngược đãi
malware	mã độc
malware	phần mềm độc hại
malware	phần mềm ác ý
malware	phần mềm ác tính
malware	phần mềm gây hại
Malé	Ma-lê
mammal	động vật có vú
mammal	thú
mammary gland	tuyến vú
mammoth	voi ma mút
mammoth	ma mút
man proposes, God disposes	mưu sự tại nhân
man proposes, God disposes	thành sự tại thiên
man	đàn ông
man	người
man	con người
man	loài người
management	quản lý
manager	người quản lý
Managua	Ma-na-goa
Manama	Ma-na-ma
manatee	lợn biển
Manchester	Man-chét-xtơ
Manchukuo	Mãn Châu quốc
Manchuria	Mãn Châu
Manchurian wild rice	niễng
mandarin orange	quýt
Mandarin	tiếng Quan thoại
Mandarin	Bắc phương thoại
Mandarin	tiếng Bắc Kinh
mandarin	quan
Mandarin	tiếng phổ thông Trung Quốc
Mandarin	tiếng phổ thông
Mandarin	tiếng Quan thoại chuẩn
Mandate of Heaven	thiên mệnh
mandrill	khỉ mặt chó
mane	bờm
maned wolf	sói bờm
manga	manga
manga	truyện tranh
Mangalore	Mangalore
manganese	mangan
mango	xoài
mango	quả xoài
mango	trái xoài
mangosteen	măng cụt
mangrove	rừng ngập mặn
mangrove	rừng đước
Manhattan	Manhattan
Manhattan	Mã Nhật Tân
manicure	sửa móng tay
manifest destiny	vận mệnh hiển nhiên
manifest	tuyên ngôn
manifest	biểu hiện
manifesto	tuyên ngôn
Manila	Ma Ní
Manila	Ma-ni-la
manipulate	điều khiển
manipulate	thao túng
manipulation	thao tác
Manitoba	Manitoba
mankind	loài người
mankind	nhân loại
mankind	đàn ông
mankind	nam giới
mannequin	manocanh
mannequin	ma-nơ-canh
manner of articulation	phương thức cấu âm
manor	trang viên
mansion	dinh thự
manslaughter	ngộ sát
mantis shrimp	tôm tít
mantis shrimp	bề bề
mantis	bọ ngựa
mantis	ngựa trời
mantou	màn thầu
mantra	mạn-đát-la
mantra	man-tra
manual labor	lao động chân tay
manual labor	lao động tay chân
manufacture	sản xuất
manufacture	chế tạo
manufacturer	người sản xuất
manure	phân
manure	phân bón
manuscript	thủ bản
many a mickle makes a muckle	góp gió thành bão
many a mickle makes a muckle	tích tiểu thành đại
many thanks	cảm ơn nhiều
many thanks	cảm ơn lắm
many	nhiều
many	lắm
Manzhouli	Mãn Châu Lý
Mao	Mao
Maoism	chủ nghĩa Mao
Maoism	chủ nghĩa Mao Trạch Đông
map	ánh xạ
map	bản đồ
map	địa đồ
maple	phong
maple	thích
Mara	Thiên Ma
marathon	ma-ra-tông
marble	đá hoa
marble	cẩm thạch
Marcellus	Marcellô
march	hành khúc
march	hành tiến
March	tháng Ba
March	tháng ba
march	hành quân
mare	ngựa cái
mare	biển Mặt Trăng
margarine	bơ thực vật
Mariana Trench	rãnh Mariana
Mariana Trench	vực Mariana
Mariana Trench	vũng Mariana
marigold	hoa vạn thọ
marijuana	cần sa
marijuana	marijuana
marinate	ướp
marine corps	thủy quân lục chiến
marine corps	lính thủy đánh bộ
mark	điểm
mark	mác
Mark	Máccô
Mark	Mác
mark	đánh dấu
marker pen	đánh dấu
market economy	nền kinh tế thị trường
market	chợ
Marks	Marx
Marks	Mác
marksman	xạ thủ
marksman	nhà thiện xạ
marl	macnơ
marlin	cá buồm
marmalade	mứt cam
maroon	nâu hạt dẻ
maroon	nâu sẫm
marque	nhãn hiệu
marque	mác
marquess	hầu tước
marriage agency	cơ quan hôn nhân
marriage	hôn nhân
marriage	cưới xin
marriage	kết hôn
marriage	lể cưới
marriage	đám cưới
married	kết hôn
married	thành lập gia đình
married	cưới
married	có vợ
married	đã lấy vợ
married	có chồng
marrow	tủy xương
marry	cưới
marry	gả
marry	kết hôn
marry	lập gia đình
marry	lấy vợ
marry	lấy chồng
Mars	thần chiến tranh
Mars	sao Hoả
Mars	火
Mars	Hoả tinh
Marseille	Mạc-xây
Marseille	Mác-xây
marsh mallow	kẹo dẻo
marsh	đồng lầy
marsh	cánh đồng lầy
marsh	vùng đồng lầy
Marshall Islands	Quần đảo Mác-san
marsupial	thú có túi
Martha	Mátta
martial art	môn võ
martial art	môn võ thuật
martial art	võ thuật
martial art	vũ thuật
martial art	tài năng chiến đấu
martial law	giới nghiêm
martial law	thiết quân luật
Martin	Martinô
Martin	Mạc Tính
Martin	Máctinô
Martin	Mạc Ty Nho
Marx	Marx
Marx	Mác
Marxism	chủ nghĩa Mác
Marxism-Leninism	chủ nghĩa Marx-Lenin
Marxism-Leninism	chủ nghĩa Mác-Lênin
mascara	thuốc bôi mi mắt
mascot	linh vật
masculine	giống đực
Maseru	Ma-xê-ru
mashed potatoes	khoai tây nghiền
mask	mặt nạ
mass communication	truyền thông đại chúng
mass grave	mộ tập thể
mass media	phương tiện
mass murder	giết người hàng loạt
mass murder	giết người tập thể
mass number	số khối
mass shooting	xả súng
mass spectrometry	phương pháp khối phổ
mass spectrometry	phương pháp phổ khối lượng
mass	khối lượng
mass	thánh lễ
Mass	thánh lễ
Mass	lễ mét
massacre	tàn sát
massage	xoa bóp
massage	đấm bóp
massage	tẩm quất
massage	mát-xa
massif	khối núi
mast	cột buồm
master of ceremonies	người dẫn chương trình
master of ceremonies	MC
master	thạc sĩ
master	chủ
masterpiece	kiệt tác
masturbate	thủ dâm
masturbate	tự sướng
masturbate	quay tay
masturbation	thủ dâm
match	diêm
match	trận đấu
match	trận cầu
matcha	mạt trà
matchmake	làm mối
matchmake	làm mai
matchmaker	người làm mối
matchmaker	bà mối
matchmaking	làm mối
matchstick	diêm
matchstick	que diêm
material	vật chất
materials science	khoa học vật liệu
maternal grandfather	ông ngoại
maternal grandmother	bà ngoại
maternal uncle	cậu
maternal uncle	bác
maternal uncle	chú
math	toán
math	toán học
mathematical analysis	giải tích toán học
mathematical analysis	giải tích
mathematician	nhà toán học
mathematics	toán học
maths	toán học
matrix	ma trận
Matsue	Matsue
matter	vật chất
matter	việc
Matthew	Mátthêu
Matthew	Ma-thi-ơ
Matthias	Mátthia
mattress	nệm
Maudgalyayana	Mục-kiền-liên
Mauritania	Mô-ri-ta-ni
Mauritius	Mô-ri-xơ
mausoleum	lăng mộ
mausoleum	lăng tẩm
mausoleum	lăng
mausoleum	tẩm
mauve	cẩm
mauve	màu cẩm
Maximilian	Maximilianô
maximize	tối đa hóa
maximum	tối đa
maximum	cực điểm
maximum	cực đại
may the Force be with you	có Thể lực lượng được với bạn
May	tháng năm
may	được phép
may	có lẽ
Maya	Hoàng hậu Maya
maybe	có lẽ
mayfly	thiêu thân
mayfly	phù du
mayonnaise	may-on-ne
mayonnaise	mai-o-ne
mayonnaise	ma-giô-ne
mayor	thị trưởng
maze	mê cung
Mazu	Ma Tổ
Mazu	Mẫu Tổ
Mazu	Thiên Hậu Thánh Mẫu
Mazu	Thiên Thượng Thánh Mẫu
Mañjuśrī	Văn Thù
Mbabane	Mơ-ba-ban
McCarthyism	chủ nghĩa McCarthy
McDonald's	McDonald's
me too	tôi cũng vậy
me too	tôi cũng thế
me	tôi
me	cho mình
meadow	đồng cỏ
meal	bữa
meal	bữa cơm
mean	có nghĩa là
mean	nghĩa là
meaning	nghĩa
meaning	ý nghĩa
meaning	ý vị
meaningless	vô nghĩa
means of production	tư liệu sản xuất
measles	sởi
measure word	danh từ chỉ đơn vị
measure	đo
measure	đo lường
measuring worm	sâu đo
meat	thịt
meatball	thịt viên
meatball	mọc
meatgrinder	máy băm thịt
mechanic	thợ máy
mechanical energy	cơ năng
mechanical engineering	kĩ thuật cơ khí
mechanical pencil	viết chì bấm
mechanical pencil	bút chì bấm
mechanics	lực học
mechanics	cơ học
mechanism	máy móc
mechanism	bộ máy
Mecklenburg-Western Pomerania	Méc-len-buốc Pho-pom-men
medal	huy chương
medal	mề đay
Medea	Medea
media	phương tiện truyền thông
median strip	dải phân cách
median strip	con lươn
median	trung tuyến
medication	phép trị liệu
meditation	tĩnh lự
meditation	tư duy tu
meditation	thiền định
Mediterranean Sea	Địa Trung Hải
Mediterranean	Địa Trung Hải
Mediterraneanize	Địa Trung Hải hóa
medium wave	sóng trung
medley	liên khúc
medulla oblongata	hành não
meerkat	cầy vằn bụng đỏ
meet one's Waterloo	phơi áo
meet	gặp
meet	làm quen
meeting	gặp gỡ
meeting	hội nghị
meeting	hội họp
megagram	mêgagam
megahertz	mêga Hertz
megalith	cự thạch
megametre	megamet
megaphone	loa phóng thanh
megaphone	loa
megaton	triệu tấn
Mehujael	Nê-hu-đa-ên
Mehujael	Mê-hu-gia-ên
meiosis	giảm phân
Mekong	sông Mê Kông
Mekong	sông Cửu Long
Mekong	sông Lớn
melaleuca	tràm
melancholia	trầm cảm
melancholy	trầm cảm
Melanesia	Mê-la-nê-di
Melbourne	Miêu Bìn
Melbourne	Mai Bình
melody	giai điệu
melody	âm điệu
melon	dưa tây
melt	tan
melt	tan chảy
melt	nóng chảy
melting point	điểm nóng chảy
melting point	nhiệt độ hóa lỏng
melting point	nhiệt độ nóng chảy
Member of Parliament	nghị sĩ
member of upper house	thượng nghị sĩ
member	hội viên
member	thành viên
membership	số hội viên
membrane	màng
memento mori	hãy nhớ rằng ngươi sẽ phải chết
memoir	truyện ký
memoir	hồi ký
memoir	luận văn
Memorial Day	Lễ Chiến sĩ trận vong
memorize	ghi nhớ
memorize	ghi chép
memory	trí nhớ
memory	bộ nhớ
memory	kỷ niệm
memory	kí ức
Mencius	Mạnh Tử
mend one's ways	hối cải
mend	vá
mend	khâu
mend	sửa chữa
Mendeleev	Men-đê-lê-ép
mendelevium	menđelevi
meningitis	viêm màng não
menopause	mãn kinh
menstrual cup	cốc nguyệt san
menstrual pad	băng vệ sinh
menstruate	có kinh nguyệt
menstruation	chu kỳ kinh nguyệt
menstruation	kinh nguyệt
mental disorder	bệnh tâm thần
mental hospital	bệnh viện tâm thần
mention	đề cập
menu	trình đơn
menu	menu
menu	danh mục
menu	bảng chọn
menu	thực đơn
menu	bảng kê món ăn
meow	ngoao
meow	ngao
meow	meo
meow	méo
meow	meo meo
meow	mèo mèo
mercantilism	chủ nghĩa trọng thương
mercenary	lính đánh thuê
mercenary	tay sai
merchandise	thương phẩm
merchandise	hàng hoá
merchant	thương gia
mercury	thuỷ ngân
Mercury	Sao Thủy
Mercury	Méc-cua
Mercury	Mẹt-cu-rơ
mercy	lòng thương
meridian	kinh tuyến
meringue	bánh trứng đường
Merkel	Merkel
Merkel	Méc-ken
mermaid	nhân ngư
mermaid	người cá
mermaid	mỹ nhân ngư
mermaid	tiên cá
mermaid	nàng tiên cá
merman	người cá
merry Christmas	chúc mừng Giáng sinh
merry Christmas	chúc mừng Nô-en
merry Christmas	mừng Chúa Giáng sinh
merry	vui
merry-go-round	trò kéo quân
merry-go-round	đu quay
merry-go-round	vòng quay ngựa gỗ
Meru	Núi Tu-di
mesentery	màng treo ruột
Mesopotamia	Lưỡng Hà
mesovortex	dòng xoáy trung
Mesozoic	đại Trung Sinh
message	tin nhắn
Messiah	Đấng Mê-si
Messidor	tháng gặt hái
messy	lộn xộn
messy	hỗn loạn
metabolism	trao đổi chất
metabolism	biến dưỡng
metacognition	siêu nhận thức
metadata	siêu dữ liệu
metafiction	siêu hư cấu
metal	kim loại
metalloid	á kim
metallurgy	luyện kim
metamorphic rock	đá biến chất
metamorphosis	biến thái
metamorphosis	sự
metamorphosis	變態
metamorphosis	biến hình
metamorphosis	變形
metanarrative	siêu tự sự
metanarrative	đại tự sự
metaphor	ẩn dụ
metaphor	phép ẩn dụ
metaphysics	siêu hình học
metastasis	di căn
metastasize	di căn
metaverse	siêu vũ trụ ảo
metaverse	siêu vũ trụ số
metaverse	siêu vũ trụ
meteor shower	mưa sao băng
meteor	sao băng
meteorite	thiên thạch
meteorite	vẫn thạch
meteorology	khí tượng học
meter	cái đo
meter	người đo
methane	mê-tan
methanol	rượu mạnh gỗ
methanol	cồn gỗ
method	phương pháp
method	phương thức
Methusael	Mê-tu-sa-ên
meticulous	tỉ mỉ
metonym	hoán dụ
metonymy	phép hoán dụ
metre	mét
metre	thước
metre	thước tây
metric ton	tấn
metric	mét
metric	tiêu chuẩn
metric	thước đo
metric	mêtric
metronome	máy nhịp
metropolis	siêu đô thị
metropolitan area network	mạng đô thị
Mexico	Mễ Tây Cơ
Mexico	Mê-hi-cô
Mexico	Mê-hi-cô Xi-ty
mezzanine	tầng lửng
miai	dạm ngõ
miasma	chướng khí
Micah	Micae
Micah	Mi-chê
Micah	Mica
Michael	Micae
Michael	Mai-cơn
microbe	vi trùng
microbe	vi khuẩn
microbe	vi sinh vật
microbiology	vi sinh vật học
microblog	tiểu blog
microblog	blog vi mô
microbody	vi thể
microchip	mạch vi xử lý
microchip	vi mạch
microclimate	vi khí hậu
microcomputer	máy tính nhỏ
microcomputer	máy vi tính
microcontroller	vi điều khiển
microeconomics	kinh tế học vi mô
microfungus	vi nấm
microgram	micrôgam
micrometer	micrômet
micronation	vi quốc gia
Micronesia	Tiểu Đảo
Micronesia	Mi-crô-nê-di
Micronesia	Mai-crô-nê-xi-a
micronutrient	nguyên tố vi lượng
micronutrient	vi lượng tố
microorganism	vi trùng
microorganism	vi khuẩn
microorganism	vi sinh vật
microphone	máy vi âm
microphone	micrô
microscope	kính hiển vi
microwave oven	lò vi ba
microwave oven	lò vi sóng
microwave	vi ba
microwave	vi sóng
Mid-Autumn Festival	Tết Trung Thu
midbrain	não giữa
Middle Ages	trung cổ
Middle Ages	trung đại
middle ear	tai giữa
Middle East	Trung Đông
middle finger	ngón giữa
middle finger	ngón tay giữa
middle name	tên đệm
middle name	tên lót
middle of nowhere	khỉ ho cò gáy
middle reaches	trung lưu
middle	giữa
middle	trung tâm
Middle-earth	Trung Địa
middlegame	trung cuộc
midfielder	tiền vệ
midge	ruồi nhuế
midget	rất nhỏ
midget	chú lùn
midnight	nửa đêm
Midwest	Trung Tây
midwife	bà đỡ
midwife	bà mụ
midwife	bà đỡ đẻ
midwife	nữ hộ sinh
midwife	đỡ đẻ
midwifery	sản khoa học
mifepristone	mifepristone
might makes right	thắng làm vua
might makes right	thua làm giặc
might	có lẽ
migration	di dân
migration	di cư
mikado	Ngự Môn
mikado	Nhật hoàng
Mike	Mai-cơ
mildew	mốc
mile	dặm
milestone	cột mốc
milestone	cây số
milestone	cột cây số
milestone	cột dặm
milestone	mốc
militarism	chủ nghĩa quân phiệt
militarization	quân sự hoá
military	quân đội
military	quân sự
military-industrial complex	tổ hợp quân sự-công nghiệp
milk tea	trà sữa
milk tooth	răng sữa
milk	sữa
milk	vắt sữa
milkmaid	cô gái vắt sữa
milkman	người bán sữa
milkshake	loại kem sưa
milkshake	trộn
Milky Way	Ngân Hà
mill	cối xay
mille-feuille	bánh minfơi
mille-feuille	bánh minphơi
millennium	thiên niên kỷ
miller	người thợ xay
miller	người chủ cối xay
millet	kê
millibar	milibarơ
milligram	miligam
millimetre	milimet
million	triệu
millionaire	triệu phú
millipede	cuốn chiếu
millisecond	một phần nghìn giây
millstone	đá cối
Miltiades	Miltiadê
mimic	bắt chước
mimic	nhại
mimicry	sự bắt chước
mince	thịt băm
mince	thịt vằm
mince	băm
mince	bằm
mind	tinh thần
mind	lòng
mind	tâm trí
mine	mỏ
mine	mìn
mine	tôi
minefield	bãi mìn
miner	thợ mỏ
mineral water	nước khoáng
mineral	khoáng sản
mineral	khoáng vật
mineralogy	khoáng vật học
Ming	Nhà Minh
minibus	xe buýt mini
minimum wage	lương tối thiểu
minimum	tối thiểu
minion	kẻ nô lệ
minister	mục sư
minister	linh mục
minister	bộ trưởng
ministry	bộ
mink	chồn nâu
Minnie	Minnie
Minnie	Min-ni
Minnie	Min-ny
minority language	ngôn ngữ thiểu số
minority	người dân tộc thiểu số
minority	thiểu số
Minsk	Min-xcơ
Minsk	Minh Tư Khắc
mint	bạc hà
minus sign	dấu âm
minus	trừ
minuscule	chữ nhỏ
minuscule	chữ thường
minute	phút
minute	biên bản
minute	lát
minute	chốc
miracle	phép lạ
miracle	điều kỳ diệu
miracle	kì tích
miracle	phép mầu
mirage	ảo ảnh
mirror	gương
mirror	kiếng
mirror	kính
miscarriage	sẩy thai
miscarriage	胎
miserable	khốn khổ
misogynist	người ghét phụ nữ
misrepresent	bóp méo
misrepresent	xuyên tạc
Miss Rona	Cô Vy
Miss	cô
Miss	chị
miss	trễ
miss	trật
miss	trượt
miss	hụt
miss	nhớ
missile	đạn tự hành
missing	mất
missing	thiếu
mission	nhiệm vụ
missionary	người truyền giáo
missionary	cha truyền đạo
Mississippi	Sông Mississippi
Missouri	Mít-xu-ri
mistake	lỗi
mistake	nhầm lẫn
Mister Right	ý trung nhân
Mister Right	bạch mã hoàng tử (白馬王子)
mistletoe	tầm gửi
mistreat	ngược đãi
mistress	người yêu
mitigate	giảm nhẹ
mitigate	giảm thiểu
mitigation	nhẹ
mitigation	dịu
mitigation	giảm thiểu
Mito	Mito
mitochondrion	ti thể
mitosis	nguyên phân
mix	pha
mixed marriage	hôn nhân hỗn hợp
mixed martial arts	võ thuật tổng hợp
mixed number	hỗn số
mixture	hỗn hợp
Miyazaki	Miyazaki
Mizo	Mizo
moan	rên rỉ
moat	hào
moat	hố
mobile data	dữ liệu di động
mobile device	thiết bị di động
mobile phone	điện thoại di động
mobile phone	điện thoại cầm tay
mobile phone	di động
mobilization	động viên
mobocracy	sự thống trị của quần chúng
mock examination	thi thử
mockingbird	chim nhại
modal particle	từ ngữ khí
modal particle	ngữ khí từ
mode of production	phương thức sản xuất
mode	chế độ
model	người mẫu
modem	modem
modem	bộ điều giải
moderate	vừa phải
moderate	phải chăng
Modern Greek	tiếng Hy Lạp hiện đại
modern	hiện đại
modernization	hiện đại hoá
modest	khiêm tốn
modification	sửa đổi
modification	sự sửa đổi
module	phần chương trình
module	mô-đun
module	bộ phận rời
Mogadishu	Mô-ga-đi-su
moist	ẩm
moisture	độ ẩm
moisture	khí ẩm
moisturising cream	kem dưỡng ẩm
mojibake	loạn mã
molar	răng hàm
molasses	rỉ mật
molasses	rỉ đường
mold	mốc
Moldova	Môn-đô-va
Moldovan	Môn-đô-va
mole cricket	dế trũi
mole cricket	dế nhũi
mole cricket	dế dũi
mole cricket	dế chũi
mole	chuột chũi
mole	nốt ruồi
mole	mụt ruồi
mole	mol
molecular formula	công thức phân tử
molecular gastronomy	ẩm thực phân tử
molecular genetics	di truyền phân tử
molecule	phân tử
Molotov cocktail	chai cháy
molybdenum	molypđen
moment of force	mô men lực
moment of silence	một phút mặc niệm
moment	mô men
moment	chốc
moment	chốc lát
moment	giây lát
moment	khoảnh khắc
momentous	quan trọng
momentous	trọng yếu
momentum	đà
momentum	động lượng
Mon	người Môn
Mon	dân tộc Môn
Mon	tiếng Môn
Monaco	Mô-na-cô
monarch	vua
monarch	quân chủ
monarch	quốc vương
monarchic	quân chủ
monarchy	quân chủ
monarchy	chế độ quân chủ
monarchy	nền quân chủ
monarchy	君主制
monastery	tu viện
monastery	tự viện
Monday	thứ hai
Monday	thứ Hai
monetary policy	chính sách tiền tệ
money doesn't grow on trees	tiền không mọc trên cây
money laundering	rửa tiền
money	tiền
moneybags	nhà giàu
moneywort	cây trân châu
Mongolia	Mông Cổ
Mongolian People's Republic	Cộng hòa Nhân dân Mông Cổ
Mongolian	Mông Cổ
Mongolian	tiếng Mông Cổ
Mongolian	người Mông Cổ
Mongolian	dân Mông Cổ
mongoose	mangut
Monica	Mônica
monism	nhất nguyên luận
monism	thuyết nhất nguyên
monitor lizard	kì đà
monitor	pháo thuyền
monitor	pháo hạm
monitor	màn hình
monitor	giám sát
monk parakeet	vẹt thầy tu đuôi dài
monk	tu sĩ
monk	thầy tu
monkey wrench	mỏ lết
monkey	khỉ
monkeypox	đậu mùa khỉ
monocle	kính một mắt
monocotyledon	thực vật một lá mầm
monoecious	đồng chu
monograph	chuyên khảo
monologue	độc ngữ
monomial	đơn thức
monophyletic	đơn ngành
monopoly	độc quyền
Monopoly	Cờ Tỷ Phú
monorail	đường một rầy
monosodium glutamate	bột ngọt
monosodium glutamate	mì chính
monosodium glutamate	mononatri glutamat
monosodium glutamate	vị tinh
monosyllabic	đơn âm tiết
monotonic function	hàm số đơn điệu
Monrovia	Mô-rô-vi-a
monsoon	mùa mưa
monsoon	gió mùa
monster	quái vật
Montenegrin	Môn-tê-nê-grô
Montenegro	Môn-tê-nê-grô
Montenegro	Hắc Sơn
Montenegro	Xơ-na-go-ra
Montevideo	Môn-tê-vi-đê-ô
month	tháng
monthly	nguyệt báo
monthly	nguyệt san
Montreal	Mông-rê-an
Montreal	Montréal
monument	đài tưởng niệm
mood	tâm trạng
mood	tính khí
moon	mặt trăng
moon	trăng
moon	tháng
Moon	mặt trăng
Moon	Mặt trăng
mooncake	bánh trung thu
moonlight	ánh trăng
moonlight	ăn mảnh
moonshine	rượu ngang
moonwalk	moonwalk
moose	nai anxet
moose	nai sừng tấm
mop	cán lau nhà
moped	xe đạp điện
moral philosophy	triết học đạo đức
moral	đạo đức
morale	tinh thần
morality	đạo đức
Moravia	Morava
Moravia	Moravia
more	hơn
more	nhiều hơn
Moreton Bay bug	tôm mũ ni
morgue	nhà xác
morin khuur	mã đầu cầm
Mormon	Mormon
Mormon	Mặc Môn
morning sickness	ốm nghén
morning star	chùy gai
morning star	sao Mai
morning	buổi sáng tốt lành
morning	chào buổi sáng
morning	buổi sáng
Moroccan	Ma-rốc
Morocco	Ma-rốc
Moroni	Mô-rô-ni
Moroni	Mô Rô Ni
morpheme	hình vị
morphine	mocfin
morphology	hình thái học
Morse code	mã Moóc-xơ
Morse code	mã Morse
mortal sin	tội trọng
mortal	có chết
mortar	vữa
mortar	cối
mortgage	quyền cầm cố
mosaic	mosaic
Moscow	Mát-xcơ-va
Moscow	Mạc Tư Khoa
Moses	Môi-se
Moses	Mô-sê
mosque	nhà thờ Hồi giáo
mosque	thánh đường
mosquito coil	nhang muỗi
mosquito larva	lăng quăng
mosquito larva	bọ gậy
mosquito larva	cung quăng
mosquito net	mùng
moss	rêu
most	nhất
most	hầu hết
most	đa số
motel	mô-ten
motel	mô ten
moth	ngài
moth	bướm đêm
mother tongue	tiếng mẹ đẻ
mother tongue	ngôn ngữ mẹ đẻ
mother tongue	ngôn ngữ đầu tiên
mother	mẹ
mother	má
mother	mạ
mother	mệ
mother	mợ
mother	bầm
mother	u
mother	nạ
mother	đẻ
mother	cái
mother	chăm sóc
mother	nuôi
mother	nuôi nấng
Mother's Day	ngày Hiền Mẫu
Mother's Day	ngày của Mẹ
Mother's Day	ngày lễ các bà mẹ
mother-in-law	mẹ chồng
mother-in-law	mẹ vợ
mother-of-pearl	xà cừ
motherboard	bo mạch chủ
motherfucker	địt con mẹ mày
motherfucker	đụ má mày
motherland	quê hương
motherland	tổ quốc
motion	cử động
motion	vận động
motivate	khích lệ
motivate	động viên
motivate	khuyến khích
motive	động cơ
motor home	nhà di động
motor scooter	xe xcutơ
motor	động cơ
motor	mô-tơ
motorboat	thuyền máy
motorcycle taxi	xe ôm
motorcycle	xe mô tô
motorcycle	mô tô
motorcycle	xe máy
motorcycle	xe gắn máy
motorway	đường cao tốc
motorway	đường ô tô chính
motorway	đường trục ô tô
motto	tiêu ngữ
mouldboard	diệp
mouldy	mốc
mouldy	mốc meo
mound	gò
mound	ụ
mound	đụn
Mount Fuji	Phú Sĩ
Mount Mayon	Núi lửa Mayon
mountain bike	xe đạp leo núi
mountain hare	thỏ núi
mountain pass	đèo
mountain range	dãy núi
mountain	núi
mountaineering	leo núi
mourn	thương tiếc
mourn	xót xa
mouse	chuột
mouse	chuột máy tính
mousetrap	bẫy chuột
moustache	râu mép
moustache	ria mép
moustache	ria
Moutai	rượu Mao Đài
mouth	miệng
mouth	mồm
mouth-to-mouth resuscitation	hô hấp nhân tạo
move	chuyển động
movement	cử động
movement	phong trào
movie star	minh tinh màn bạc
movie	phim
movie	điện ảnh
mow	cắt
mow	cắt cỏ
Mozambique	Mô-dăm-bích
Mr.	ông
Mrs	bà
Mrs	cô
Muay Thai	Muay Thái
